Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-16,Monday,Indigo,6E-7201,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,8.6667,1.0,18119.0
2023-01-17,Tuesday,StarAir,S5-152,Economy,Hyderabad,After 6 PM,non-stop,After 6 PM,Bangalore,1.1667,2.0,3645.0
2023-01-17,Tuesday,Indigo,6E-7254,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,6.75,2.0,5745.0
2023-01-25,Wednesday,AkasaAir,QP-1418,Economy,Hyderabad,12 PM - 6 PM,non-stop,12 PM - 6 PM,Bangalore,1.1667,10.0,4999.0
2023-01-16,Monday,AirAsia,I5-587,Economy,Hyderabad,6 AM - 12 PM,non-stop,12 PM - 6 PM,Kolkata,2.1667,1.0,7731.0
2023-01-16,Monday,Indigo,6E-376,Economy,Hyderabad,6 AM - 12 PM,non-stop,12 PM - 6 PM,Kolkata,2.0,1.0,7732.0
2023-01-16,Monday,Indigo,6E-6494,Economy,Hyderabad,Before 6 AM,non-stop,Before 6 AM,Kolkata,2.0833,1.0,7732.0
2023-01-16,Monday,Indigo,6E-6242,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,6.0,1.0,10728.0
2023-01-16,Monday,Indigo,6E-6532,Economy,Hyderabad,After 6 PM,1-stop,Before 6 AM,Kolkata,6.8333,1.0,11267.0
2023-01-16,Monday,Indigo,6E-7039,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,6.25,1.0,12116.0
2023-01-16,Monday,Indigo,6E-879,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,6.3333,1.0,12247.0
2023-01-16,Monday,Indigo,6E-3291,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,6.5833,1.0,13927.0
2023-01-16,Monday,Indigo,6E-149,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,5.75,1.0,15340.0
2023-01-17,Tuesday,Indigo,6E-6911,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,4.3333,2.0,10203.0
2023-02-02,Thursday,Indigo,6E-972,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,7.1667,18.0,10057.0
2023-01-16,Monday,Indigo,6E-6216,Economy,Hyderabad,After 6 PM,non-stop,After 6 PM,Chennai,1.4167,1.0,5737.0
2023-01-16,Monday,AllianceAir,9I-893,Economy,Hyderabad,6 AM - 12 PM,non-stop,6 AM - 12 PM,Chennai,1.6667,1.0,5738.0
2023-01-16,Monday,Indigo,6E-752,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,5.0,1.0,8552.0
2023-01-16,Monday,Indigo,6E-6408,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Chennai,6.6667,1.0,10468.0
2023-01-16,Monday,Indigo,6E-7379,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,6.9167,1.0,11481.0
