flight_num,from,to
UK-981,Delhi,Bangalore
UK-943,Delhi,Bangalore
AI-9809,Delhi,Bangalore
6E-772,Delhi,Bangalore
I5-773,Delhi,Bangalore
6E-967,Delhi,Bangalore
AI-837,Delhi,Bangalore
6E-2753,Delhi,Bangalore
UK-721,Delhi,Bangalore
G8-237,Delhi,Bangalore
AI-865,Delhi,Bangalore
6E-2083,Delhi,Bangalore
6E-5088,Delhi,Bangalore
I5-791,Delhi,Bangalore
SG-8910,Delhi,Bangalore
AI-9915,Delhi,Bangalore
I5-713,Delhi,Bangalore
G8-275,Delhi,Bangalore
G8-422,Delhi,Bangalore
AI-479,Delhi,Bangalore
I5-559,Delhi,Bangalore
G8-7549,Delhi,Bangalore
G8-2511,Delhi,Bangalore
G8-2501,Delhi,Bangalore
G8-7535,Delhi,Bangalore
G8-7533,Delhi,Bangalore
G8-530,Delhi,Bangalore
G8-7534,Delhi,Bangalore
G8-7541,Delhi,Bangalore
G8-231,Delhi,Bangalore
G8-354,Delhi,Bangalore
G8-211,Delhi,Bangalore
6E-2343,Delhi,Bangalore
G8-7555,Delhi,Bangalore
G8-145,Delhi,Bangalore
I5-881,Delhi,Bangalore
6E-2478,Delhi,Bangalore
6E-2348,Delhi,Bangalore
6E-2082,Delhi,Bangalore
6E-6233,Delhi,Bangalore
SG-339,Delhi,Bangalore
6E-2249,Delhi,Bangalore
AI-883,Delhi,Bangalore
AI-491,Delhi,Bangalore
G8-7542,Delhi,Bangalore
I5-741,Delhi,Bangalore
SG-8169,Delhi,Bangalore
SG-480,Delhi,Bangalore
6E-552,Delhi,Bangalore
6E-951,Delhi,Bangalore
6E-286,Delhi,Bangalore
6E-6245,Delhi,Bangalore
6E-6264,Delhi,Bangalore
6E-5042,Delhi,Bangalore
6E-177,Delhi,Bangalore
6E-767,Delhi,Bangalore
6E-212,Delhi,Bangalore
6E-7348,Delhi,Bangalore
6E-5014,Delhi,Bangalore
SG-8723,Delhi,Bangalore
SG-8701,Delhi,Bangalore
G8-1171,Delhi,Bangalore
I5-735,Delhi,Bangalore
SG-8191,Delhi,Bangalore
6E-2048,Delhi,Bangalore
6E-6612,Delhi,Bangalore
6E-308,Delhi,Bangalore
6E-781,Delhi,Bangalore
SG-8905,Delhi,Bangalore
6E-6565,Delhi,Bangalore
6E-2015,Delhi,Bangalore
SG-197,Delhi,Bangalore
G8-268,Delhi,Bangalore
6E-7336,Delhi,Bangalore
6E-6098,Delhi,Bangalore
6E-963,Delhi,Bangalore
SG-389,Delhi,Bangalore
AI-889,Delhi,Bangalore
SG-946,Delhi,Bangalore
G8-404,Delhi,Bangalore
AI-540,Delhi,Bangalore
AI-407,Delhi,Bangalore
AI-406,Delhi,Bangalore
AI-801,Delhi,Bangalore
AI-429,Delhi,Bangalore
AI-439,Delhi,Bangalore
G8-188,Delhi,Bangalore
G8-108,Delhi,Bangalore
SG-8480,Delhi,Bangalore
AI-861,Delhi,Bangalore
G8-2201,Delhi,Bangalore
G8-101,Delhi,Kolkata
G8-103,Delhi,Kolkata
